 Date,Issue raised by,Application,Issue Type,OS - Operating System,Browser,Envirnoment,Retail Type,Location Type,Module,Feature,Issue Description,Assignee,Priority,Issue Status,Dev Comments,QA comments,Sprints,Steps to Reproduce,Estimated Back End Time,Attachments
17/12/2025,Souvik,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Pause Online order,Pause online order functionality is not implemented,Dinesh,P1,Open,,,,,,
17/12/2025,Vanitha,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Accepted Section,Provision needs to filter orders by table or date wise or users,Ajay Aksath,P1,Assigned,,,,,,
17/12/2025,Vanitha,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Recalled Section,"In recalled list, product name search needs to be implemented",Ajay Aksath,P2,Assigned,,,,,,
17/12/2025,Sundhar,POS(Web),New Implementation,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Inventory,Inventory consumption not triggered when job is marked Ready and moved to Completed state,Sundhar,P0,Pending Retest,,Only after making the payment status completed then only inventory will get consumed ,,,,
17/12/2025,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Processing,"In the Processing section, a buzzer sound or visual notification should trigger when an order exceeds its defined preparation time",Ajay Aksath,P1,Assigned,,need clarification from product team,,,,
22/12/2025,Souvik,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,recalled order,"After recalling item(s) from an order, the recalled item(s) are still visible on the KDS. If all items are recalled the order card should be removed from the Pending section",Lucky,P1,Assigned,https://drive.google.com/file/d/1jXq7KjTRGVxsp3A6EYRBhe8I3l1ez_Fd/view?usp=sharing,strike is not there in pending state,,,,
23/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Recalled List,When a item recalled with a reason its should display the return reason or reason description,Lucky,P2,Assigned,https://drive.google.com/file/d/1SdSchj-IATod1kNEmKC9jIpiPPEH8vc9/view?usp=sharing,,,,,
24/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Processing Section,"When a order is reversed from completed state, deducting line item and mark it as ready the order is missing from completed state.",Lucky,P2,Reopen,https://drive.google.com/file/d/1u-WUr_u6Y9bKRm_zP-dKDZZKnoGDHBOm/view?usp=sharing,,,,,
24/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Completed Section,Items marked Ready are not visible in Completed section until all line items are marked Ready,Abu,P1,Not Required,,,,,,
24/12/2025,Sundhar,POS(Web),New Issue,Windows,Chrome,Stage,Restaurant,FINE DINE-IN,KDS,Completed Section,Items marked Ready after partial quantity edit didn't appear in Completed section,Abu,P1,Not Required,,,,,,
